date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month
2022-05-06,11.0,9.2,13.6,3.8,0,8.0,4.8,20.4,1022.4,,05-May
2022-05-07,12.0,9.8,17.1,3.7,0,47.0,5.6,27.8,1021.8,,05-May
2022-05-08,13.4,9.9,17.4,0.0,0,51.0,7.3,31.5,1021.5,,05-May
2022-05-09,15.0,10.1,20.6,0.0,0,52.0,5.5,20.4,1022.9,,05-May
2022-05-10,17.2,10.4,23.6,0.0,0,201.0,4.5,24.1,1021.2,,05-May
2022-05-11,20.8,13.4,26.6,0.0,0,222.0,7.1,35.2,1017.0,,05-May
2022-05-12,21.1,17.3,26.4,0.1,0,248.0,10.4,37.0,1018.4,,05-May
2022-05-13,16.8,15.3,18.7,0.3,0,228.0,6.5,22.2,1020.8,,05-May
2022-05-14,17.9,13.2,23.5,0.0,0,21.0,4.4,18.5,1020.0,,05-May
2022-05-15,19.0,11.6,26.4,1.8,0,45.0,5.5,18.5,1016.7,,05-May
2022-05-16,19.1,14.4,23.6,0.0,0,206.0,7.6,33.3,1019.2,,05-May
2022-05-17,19.7,13.3,24.8,0.0,0,51.0,5.5,20.4,1020.3,,05-May
2022-05-18,20.6,12.8,27.2,0.0,0,51.0,8.1,27.8,1020.3,,05-May
2022-05-19,20.3,14.6,28.5,2.9,0,169.0,6.2,29.6,1021.4,,05-May
2022-05-20,23.3,16.3,30.4,0.6,0,200.0,7.0,35.2,1020.1,,05-May
2022-05-21,18.9,15.7,23.6,0.0,0,266.0,9.0,51.8,1021.0,,05-May
2022-05-22,17.8,12.6,23.5,0.1,0,37.0,6.1,20.4,1014.3,,05-May
2022-05-23,17.9,14.9,23.8,8.9,0,287.0,7.6,33.3,1005.4,,05-May
2022-05-24,13.1,10.7,15.2,2.0,0,247.0,8.8,33.3,1010.2,,05-May
2022-05-25,15.3,11.0,20.4,0.0,0,310.0,5.0,18.5,1016.0,,05-May
2022-05-26,16.7,12.1,21.3,0.0,0,279.0,5.8,20.4,1022.5,,05-May
2022-05-27,16.4,11.6,20.9,0.0,0,263.0,9.7,24.1,1022.3,,05-May
2022-05-28,14.4,10.7,17.7,0.0,0,14.0,6.9,24.1,1018.7,,05-May
2022-05-29,11.7,8.0,15.6,0.0,0,25.0,7.9,25.9,1012.1,,05-May
2022-05-30,13.0,6.4,18.6,0.0,0,36.0,7.1,24.1,1010.8,,05-May
2022-05-31,14.5,11.6,19.7,1.2,0,168.0,8.6,24.1,1013.0,,05-May
2022-06-01,14.7,12.0,19.0,1.1,0,197.0,6.4,24.1,1016.2,,06-Jun
2022-06-02,17.3,13.1,22.1,0.0,0,51.0,4.7,,1017.8,,06-Jun
2022-06-03,18.0,13.9,25.1,2.3,0,47.0,5.6,,1015.9,,06-Jun
2022-06-04,20.9,14.8,27.2,0.9,0,138.0,4.3,,1017.1,,06-Jun
2022-06-05,17.2,13.9,21.8,18.4,0,252.0,10.1,,1015.7,,06-Jun
2022-06-06,17.5,12.8,23.6,12.7,0,237.0,5.3,,1018.3,,06-Jun
2022-06-07,15.2,13.1,18.5,2.4,0,231.0,7.5,,1016.7,,06-Jun
2022-06-08,15.2,12.1,21.0,7.1,0,185.0,6.6,,1012.4,,06-Jun
2022-06-09,13.2,10.6,17.2,1.2,0,256.0,9.9,,1016.7,,06-Jun
2022-06-10,16.6,9.3,21.7,0.0,0,88.0,5.8,,1023.4,,06-Jun
2022-06-11,18.8,11.6,25.3,0.0,0,88.0,5.0,,1023.3,,06-Jun
2022-06-12,21.4,14.0,28.8,7.6,0,359.0,4.4,,1021.0,,06-Jun
2022-06-13,19.4,14.2,23.6,0.0,0,277.0,8.4,,1020.5,,06-Jun
