Jahr;SMI_bereinigt
1990.105452;29.05519582
1990.10819;35.95861747
1990.110928;24.43822942
1990.113666;15.54798516
1990.116404;2.814593392
1990.119142;-12.91833162
1990.12188;-23.02266879
1990.124618;-16.66339864
1990.127355;-15.2402934
1990.130093;-18.82668921
1990.132831;-11.86640949
1990.135569;-18.00281076
1990.138307;-30.95029623
1990.141045;-55.27296442
1990.143783;-48.96447183
1990.146521;-61.73574741
1990.149259;-66.16322118
1990.151997;-72.27516088
1990.154735;-64.23717665
1990.157472;-15.44931431
1990.16021;-5.750661664
1990.162948;-12.58278936
1990.165686;5.396601945
1990.168424;10.07833318
1990.171162;3.929809621
1990.1739;-13.8700621
1990.176638;-19.96415947
1990.179376;22.30786153
1990.182114;37.67676287
1990.184852;41.11341436
1990.187589;36.01917808
1990.190327;28.55148811
1990.193065;37.65024189
1990.195803;60.89792609
1990.198541;48.44543677
1990.201279;48.48883802
1990.204017;74.39899081
1990.206755;71.0720706
1990.209493;60.88967173
1990.212231;46.25859574
1990.214969;13.62085104
1990.217706;15.33381796
1990.220444;30.00370618
1990.223182;32.88806466
1990.22592;26.36866953
1990.228658;1.60085381
1990.231396;-13.07760237
1990.234134;-38.65877283
1990.236872;-36.3556945
1990.23961;-21.35244881
1990.242348;-25.35764761
1990.245086;-48.95444594
1990.247823;-76.4082395
1990.250561;-92.33428695
1990.253299;-80.494282
1990.256037;-70.3459551
1990.258775;-76.69621451
1990.261513;-63.22908916
1990.264251;-54.97941416
1990.266989;-52.49906462
1990.269727;-76.4181307
1990.272465;-95.77207987
1990.275203;-98.97313173
1990.277941;-82.54508683
1990.280678;-76.13335551
1990.283416;-70.26329237
1990.286154;-65.32133452
1990.288892;-56.53714232
1990.29163;-56.61397931
1990.294368;-69.14277922
1990.297106;-93.0735863
1990.299844;-104.2524691
1990.302582;-99.21137132
1990.30532;-97.67523311
1990.308058;-106.1351435
1990.310795;-111.3865098
1990.313533;-114.8412998
1990.316271;-124.818314
1990.319009;-133.7304913
1990.321747;-143.2115332
1990.324485;-155.1134482
1990.327223;-167.3893761
1990.329961;-176.4084256
1990.332699;-170.0111156
1990.335437;-138.1639356
1990.338175;-116.6732848
1990.340912;-104.1021776
1990.34365;-105.5882365
1990.346388;-95.54559738
1990.349126;-116.1148038
1990.351864;-97.14532424
1990.354602;-42.9027085
1990.35734;-9.104514639
1990.360078;0.513254369
1990.362816;2.702364853
1990.365554;-13.22180049
1990.368292;-23.59523396
1990.371029;-27.26498734
1990.373767;-1.018271143
1990.376505;-3.919332985
1990.379243;-22.16191895
1990.381981;-20.77762874
1990.384719;-14.73304631
1990.387457;-0.005145811
1990.390195;21.19832995
1990.392933;32.95615719
1990.395671;20.83704817
1990.398409;-5.187895762
1990.401146;-14.36455326
1990.403884;5.631145071
1990.406622;53.99546194
1990.40936;89.46329783
1990.412098;85.26860773
1990.414836;98.90153522
1990.417574;108.7972281
1990.420312;109.6039554
1990.42305;110.8818284
1990.425788;113.296582
1990.428526;85.64820471
1990.431263;75.00809501
1990.434001;88.5992509
1990.436739;79.15827971
1990.439477;67.92673404
1990.442215;86.59483349
1990.444953;135.9632796
1990.447691;158.3950799
1990.450429;163.1604162
1990.453167;160.573844
1990.455905;145.8703008
1990.458643;128.766027
1990.46138;118.7424509
1990.464118;120.8384813
1990.466856;121.818331
1990.469594;131.942113
1990.472332;159.8783623
1990.47507;183.377851
1990.477808;181.234968
1990.480546;184.5547317
1990.483284;196.2365832
1990.486022;206.7299014
1990.48876;191.5847665
1990.491497;178.3268797
1990.494235;172.1098626
1990.496973;160.3208653
1990.499711;154.9939819
1990.502449;154.4121659
1990.505187;164.9970729
1990.507925;161.1779452
1990.510663;188.9704522
1990.513401;208.7678645
1990.516139;196.3062981
1990.518877;188.2529147
1990.521614;190.2636439
1990.524352;213.0892317
1990.52709;205.6693731
1990.529828;211.3250843
1990.532566;208.6774413
1990.535304;212.4372862
1990.538042;213.3929795
1990.54078;207.1843837
1990.543518;203.3837518
1990.546256;199.0443846
1990.548994;213.7878576
1990.551731;216.0992455
1990.554469;210.6888188
1990.557207;188.8493395
1990.559945;163.9791894
1990.562683;185.1228083
1990.565421;178.8659698
1990.568159;147.6501077
1990.570897;116.6389258
1990.573635;117.5974885
1990.576373;113.26256
1990.579111;124.7784516
1990.581848;126.5718635
1990.584586;111.3582113
1990.587324;87.99419989
1990.590062;29.59073366
1990.5928;-16.94309684
1990.595538;-14.9309831
1990.598276;40.26704744
1990.601014;-9.59425106
1990.603752;14.32266044
1990.60649;40.00115818
1990.609228;34.81760577
1990.611965;-1.147792851
1990.614703;-28.75151749
1990.617441;-15.25043537
1990.620179;20.06845491
1990.622917;18.23584671
1990.625655;-33.39806782
1990.628393;-38.55491967
1990.631131;-14.38034987
1990.633869;-20.02186233
1990.636607;-71.3824445
1990.639345;-58.66346401
1990.642082;-125.3644953
1990.64482;-87.26236332
1990.647558;-36.78638781
1990.650296;3.560947077
1990.653034;-17.42029406
1990.655772;-27.09682748
1990.65851;-13.98003308
1990.661248;-3.964748878
1990.663986;-7.460734109
1990.666724;-1.923199564
1990.669462;0.917842256
1990.672199;-12.99951346
1990.674937;-32.73950965
1990.677675;-23.26198508
1990.680413;-37.12285596
1990.683151;-55.78939424
1990.685889;-67.06069256
1990.688627;-53.04406658
1990.691365;-27.87292649
1990.694103;-6.193602598
1990.696841;0.267439621
1990.699579;-9.494358307
1990.702316;-19.7972791
1990.705054;-19.62464163
1990.707792;-24.2586448
1990.71053;-19.06635102
1990.713268;-22.4608535
1990.716006;-27.14990534
1990.718744;-53.81773659
1990.721482;-43.37351999
1990.72422;-20.51210747
1990.726958;-37.90301516
1990.729696;-54.94697457
1990.732433;-81.26334272
1990.735171;-107.6016604
1990.737909;-96.34475712
1990.740647;-119.2684988
1990.743385;-117.7706041
1990.746123;-85.87461877
1990.748861;-30.67657275
1990.751599;12.02572281
1990.754337;-5.844455857
1990.757075;-37.96265354
1990.759813;-53.99650348
1990.76255;-45.98014864
1990.765288;-5.552298153
1990.768026;9.639833068
1990.770764;0.780565694
1990.773502;-14.5857201
1990.77624;-4.465353299
1990.778978;12.58707401
1990.781716;21.23362236
1990.784454;6.838838694
1990.787192;-5.84282284
1990.78993;16.62038839
1990.792667;6.309351002
1990.795405;10.81927594
1990.798143;17.26189853
1990.800881;7.808437206
1990.803619;-0.088508317
1990.806357;-1.310373789
1990.809095;28.00516219
1990.811833;28.47243106
1990.814571;17.60469591
1990.817309;-18.21891292
1990.820047;-32.61869602
1990.822784;-22.28786657
1990.825522;-23.0731275
1990.82826;-43.93359433
1990.830998;-67.4992182
1990.833736;-108.2647835
1990.836474;-113.7505553
1990.839212;-117.6759975
1990.84195;-131.8082071
1990.844688;-150.4092487
1990.847426;-165.2835287
1990.850164;-168.1800511
1990.852901;-177.5541106
1990.855639;-157.6778024
1990.858377;-138.5140662
1990.861115;-142.1587551
1990.863853;-139.3068275
1990.866591;-131.8329003
1990.869329;-141.6562887
1990.872067;-158.3570251
1990.874805;-170.3482453
1990.877543;-166.7384253
1990.880281;-158.5033519
1990.883018;-146.5787588
1990.885756;-151.4460061
1990.888494;-158.8115319
1990.891232;-166.7380934
1990.89397;-158.1914829
1990.896708;-162.0753854
1990.899446;-186.8640198
1990.902184;-201.4151558
1990.904922;-201.7611641
1990.90766;-196.4745288
1990.910398;-206.1800721
1990.913135;-188.9520728
1990.915873;-164.9134945
1990.918611;-155.3088357
1990.921349;-148.229536
1990.924087;-155.9445356
1990.926825;-151.4684292
1990.929563;-116.8012723
1990.932301;-126.8218949
1990.935039;-129.7021588
1990.937777;-128.5963398
1990.940515;-131.5708887
1990.943252;-141.8291511
1990.94599;-128.4568946
1990.948728;-111.916669
1990.951466;-118.0296053
1990.954204;-131.1967747
1990.956942;-157.0517864
1990.95968;-172.2193457
1990.962418;-164.2525004
1990.965156;-161.9266961
1990.967894;-180.0432225
1990.970632;-170.7374392
1990.973369;-162.3724643
1990.976107;-182.0356459
1990.978845;-198.4196354
1990.981583;-202.6537392
1990.984321;-201.7192885
1990.987059;-203.8262477
1990.989797;-216.0454354
1990.992535;-207.7378231
1990.995273;-208.8938868
1990.998011;-210.311519
1991.000749;-219.9693484
1991.003486;-235.2004799
1991.006224;-251.1158067
1991.008962;-261.3355571
1991.0117;-260.8415804
1991.014438;-262.81961
1991.017176;-279.5597733
1991.019914;-303.2424089
1991.022652;-277.2934671
1991.02539;-282.8834346
1991.028128;-288.2654709
1991.030866;-312.1396965
1991.033603;-324.9066236
1991.036341;-325.7087569
1991.039079;-284.0862053
1991.041817;-273.6309921
1991.044555;-205.4228976
1991.047293;-226.6316655
1991.050031;-245.2530705
1991.052769;-221.7496884
1991.055507;-204.9134833
1991.058245;-202.1301685
1991.060983;-192.9981615
1991.06372;-162.5585308
1991.066458;-135.0731759
1991.069196;-131.566711
1991.071934;-130.7509671
1991.074672;-131.3048001
1991.07741;-136.9080501
1991.080148;-103.0309023
1991.082886;-104.2676294
1991.085624;-108.7626123
1991.088362;-104.4374049
1991.0911;-112.8372027
1991.093837;-102.0689012
1991.096575;-83.02826379
1991.099313;-94.94203565
1991.102051;-90.76536975
1991.104789;-63.78939984
1991.107527;-32.64211584
1991.110265;-20.57265224
1991.113003;-23.75853384
1991.115741;-36.61312251
1991.118479;-24.1233485
1991.121217;-37.57965672
1991.123954;-21.44135293
1991.126692;-17.7637623
1991.12943;-25.12223285
1991.132168;-15.65163154
1991.134906;-17.67439943
1991.137644;-45.63266323
1991.140382;-24.93674781
1991.14312;-17.21563723
1991.145858;11.95491144
1991.148596;49.41289093
1991.151334;43.85040771
1991.154071;9.330276607
1991.156809;44.74965705
1991.159547;55.63212186
1991.162285;45.65574704
1991.165023;44.69159725
1991.167761;46.51174811
1991.170499;49.46628614
1991.173237;49.95839216
1991.175975;82.71552584
1991.178713;105.3231718
1991.181451;129.8131872
1991.184188;140.089355
1991.186926;124.7785571
1991.189664;108.4759047
1991.192402;113.8214054
1991.19514;116.6234715
1991.197878;149.4319371
1991.200616;138.7538158
1991.203354;154.2674703
1991.206092;149.2783454
1991.20883;131.6945145
1991.211568;99.92071157
1991.214305;66.10237186
1991.217043;90.65151132
1991.219781;130.5305331
1991.222519;146.7928573
1991.225257;137.8079806
1991.227995;101.0681307
1991.230733;90.2339493
1991.233471;121.9226854
1991.236209;121.6068295
1991.238947;102.6582588
1991.241685;84.17171259
1991.244422;71.56499542
1991.24716;67.40790918
1991.249898;71.40610832
1991.252636;87.53567505
1991.255374;92.19635468
1991.258112;85.6108747
1991.26085;89.05492833
1991.263588;86.55758318
1991.266326;88.76123611
